"filename", "language", "Dart", "comment", "blank", "total"
"/Users/dss33/flutter_project_training/clockify_kent/lib/activity/presentation/timer_page.dart", "Dart", 0, 0, 1, 1
"/Users/dss33/flutter_project_training/clockify_kent/lib/activity/state/activity_state.dart", "Dart", 45, 0, 8, 53
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/presentation/email_page.dart", "Dart", 105, 0, 5, 110
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/presentation/password_page.dart", "Dart", 112, 0, 7, 119
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/presentation/register_page.dart", "Dart", 204, 3, 8, 215
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/state/user_auth_state.dart", "Dart", 50, 0, 7, 57
"/Users/dss33/flutter_project_training/clockify_kent/lib/firebase/firebase_options.dart", "Dart", 56, 12, 4, 72
"/Users/dss33/flutter_project_training/clockify_kent/lib/main.dart", "Dart", 41, 0, 6, 47
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/activity.dart", "Dart", 30, 0, 11, 41
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/activity.g.dart", "Dart", 51, 4, 8, 63
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/user.dart", "Dart", 18, 0, 6, 24
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/user.g.dart", "Dart", 39, 4, 8, 51
"/Users/dss33/flutter_project_training/clockify_kent/lib/route/page_route.dart", "Dart", 68, 0, 14, 82
"Total", "-", 819, 23, 93, 935
